KLD-dart, Cramer-dart,KLD-sso,Cramer-sso
0.00409620154829885,0.0118579964176995,0.00409620154829885,0.0118579964176995
0.0114717314125739,0.0185757316612947,0.0114717314125739,0.0185757316612947
0.00291926390372939,0.00982783718711835,0.00291926390372938,0.00982783718711835
0.00330614094614195,0.0105040616363785,0.00330614094614195,0.0105040616363785
0.0751226793551001,0.040187877508427,0.0751226793551001,0.040187877508427
0.00921252743620678,0.0171206563588078,0.00921252743620678,0.0171206563588078
0.00365794708355598,0.010941852521645,0.00365794708355598,0.010941852521645
0.0187174213081446,0.0259169981982332,0.0187174213081446,0.0259169981982332
0.00305449122321119,0.0100448285977758,0.00305449122321119,0.0100448285977758
0.00998550144044785,0.0177444137151902,0.00998550144044785,0.0177444137151902
0.0171020546689252,0.0215715901793944,0.0171020546689252,0.0215715901793944
0.00304784012134144,0.00996910219496528,0.00304784012134144,0.00996910219496528
0.0037120975641421,0.011112370107007,0.0037120975641421,0.011112370107007
0.00355546266568444,0.0108420612298925,0.00355546266568445,0.0108420612298925
0.0104932632083257,0.0177794601485909,0.0104932632083257,0.0177794601485909
0.013656873805378,0.020919870340601,0.013656873805378,0.020919870340601
0.0269121276992816,0.025134609380846,0.0269121276992816,0.025134609380846
0.00332753051498385,0.0105232119029628,0.00332753051498385,0.0105232119029628
0.00641686006757481,0.0144414128500271,0.00641686006757482,0.0144414128500271
0.0280721538622778,0.0312980065229259,0.0280721538622778,0.0312980065229259
0.0117752625633417,0.0188432054843133,0.0117752625633417,0.0188432054843134
0.00464891120142633,0.0128544688017075,0.00464891120142633,0.0128544688017075
0.00324843363838424,0.0103894696202179,0.00324843363838424,0.0103894696202179
0.00335319221131073,0.0106326043140818,0.00335319221131073,0.0106326043140818
0.004793502968395,0.0125028294727264,0.004793502968395,0.0125028294727264
0.0070210279169163,0.0154092190272085,0.0070210279169163,0.0154092190272085
0.00924445551170824,0.0173621948249315,0.00924445551170825,0.0173621948249315
0.00360925422809974,0.0110930987223218,0.00360925422809974,0.0110930987223218
0.00231961825747349,0.00872391211324091,0.00231961825747349,0.00872391211324091
0.00416417996839422,0.0117844725115842,0.00416417996839422,0.0117844725115842
0.012134896679141,0.0193155031456962,0.012134896679141,0.0193155031456962
0.00167533462198363,0.00743524319095515,0.00167533462198363,0.00743524319095515
0.00472555585580546,0.0123935969136122,0.00472555585580547,0.0123935969136122
0.00540316889775279,0.0136018967838817,0.00540316889775279,0.0136018967838817
0.00421123034994503,0.0116560831210867,0.00421123034994503,0.0116560831210867
0.00946216263894477,0.0170884529101874,0.00946216263894477,0.0170884529101874
0.00177268876926497,0.00768748090126954,0.00177268876926497,0.00768748090126954
0.00428827265318483,0.0119512902789537,0.00428827265318483,0.0119512902789537
0.00348125398490001,0.01083139961503,0.00348125398490001,0.01083139961503
0.00526101775423621,0.013471860126037,0.00526101775423621,0.013471860126037
0.0040017680464632,0.0112179445220957,0.00400176804646319,0.0112179445220957
0.00339285567498219,0.0104989409901348,0.0033928556749822,0.0104989409901348
0.00250796388784363,0.00923573436603414,0.00250796388784363,0.00923573436603414
0.00344236178744962,0.0107923556466325,0.00344236178744962,0.0107923556466325
0.0110515099699626,0.0186858101755969,0.0110515099699626,0.0186858101755969
0.00434700780593466,0.011656401566068,0.00434700780593466,0.011656401566068
0.00290650340857117,0.00977927409886712,0.00290650340857117,0.00977927409886712
0.00355761491527325,0.0108182113257024,0.00355761491527325,0.0108182113257024
0.00553075281991563,0.0135991044490443,0.00553075281991563,0.0135991044490443
0.00415881608239671,0.0119975198940595,0.00415881608239671,0.0119975198940595
