Same?, KLD, Cramer, Bhattacharyya
0, 0.08403769225117806, 0.03564746773062378, 0.9594144982497096
0, 0.579677517324535, 0.02473744965715518, 0.9840446499675458
0, 0.5799235059754982, 0.024703703522363354, 0.9840184704970109
0, 0.5799740162892534, 0.02473672578906467, 0.9840061102172463
0, 0.08495880553738759, 0.03603992450432823, 0.9589745365051918
0, 0.19703043874320753, 0.01829491235921026, 0.9929345988157642
0, 0.5796435871901868, 0.024706837054630396, 0.9840552214572721
0, 0.5799061079626013, 0.02468461016573632, 0.9840241678710613
0, 0.5794768930123096, 0.024589679523931422, 0.9840968129636892
0, 0.056048187242885295, 0.029348834950548224, 0.973623099443819
0, 0.5805818945670344, 0.02488091630761121, 0.9839016525796657
0, 0.5801694151286805, 0.024908025704449794, 0.9839505369831588
0, 0.5793963230480119, 0.024592904522891243, 0.984107069176886
0, 0.5797481949393559, 0.024644310765698667, 0.9840517405946363
0, 0.08436881481263016, 0.03579221841558299, 0.959232989682162
0, 0.5799496719836784, 0.024695314499505246, 0.9840164570978049
0, 0.579831927920005, 0.02466553814912536, 0.9840371955562629
0, 0.5798771385925947, 0.024683027426471913, 0.9840281032898813
0, 0.9538033399126402, 0.02952760508718062, 0.9763134773590477
0, 0.10041761056717402, 0.03924318351375634, 0.9515922775388843
0, 0.2024979479711054, 0.017721886715301467, 0.9925154170414144
0, 0.20280414559184776, 0.017731575753832194, 0.992474305056275
0, 0.20279965557132962, 0.01772439113700607, 0.992475893783384
0, 0.10162354697509032, 0.039708965563035895, 0.9510170034776607
0, 0.005037161355232099, 0.011038504781044064, 0.9988117359736071
0, 0.20244616586655298, 0.017663484998629714, 0.9925301938339831
0, 0.2028022773346147, 0.017720404994037067, 0.9924760087988117
0, 0.20240998303059685, 0.017627384633136782, 0.9925386246779807
0, 0.07182725896537362, 0.03334940104003053, 0.9658303401901172
0, 0.20345577365226386, 0.01796523660127331, 0.992360303270367
0, 0.20306086292113168, 0.018022536741258005, 0.9924040360337087
0, 0.20224043519166227, 0.017546349208315725, 0.99257124906927
0, 0.20264543239889432, 0.0176668050113988, 0.9925030503075105
0, 0.10085964708193734, 0.039417652100138006, 0.951351134560459
0, 0.20284783951568888, 0.017736865434311952, 0.9924678693768899
0, 0.20272745614458282, 0.01769398478287857, 0.9924890699005324
0, 0.2028003061568942, 0.01774430284955826, 0.9924731113291649
0, 0.5800704577036799, 0.023940599785407846, 0.9847511962222492
0, 0.10031684317564535, 0.0392027597411906, 0.9516149555000228
0, 0.20132846865065437, 0.01754353845707229, 0.9925834706416524
0, 0.20168096511562092, 0.017599734947200834, 0.9925303976758123
0, 0.2017291533114295, 0.017644018324771055, 0.9925186254103173
0, 0.10165359360475013, 0.03971882196379449, 0.9510085136307717
0, 0.0050471610451065735, 0.011070194455024605, 0.9988088647477812
0, 0.20141661787213963, 0.017620233417645625, 0.992562960635807
0, 0.20169488503823035, 0.01760404316771693, 0.9925280736286503
0, 0.20128201322912653, 0.01748869684407738, 0.9925961817187242
0, 0.07186735630302038, 0.03336522258937626, 0.9658196883763593
0, 0.20232422727317578, 0.017829209189868522, 0.9924180986671182
0, 0.20198401125811358, 0.017936904402011088, 0.9924484261249755
0, 0.20120405013862822, 0.01749682318054219, 0.9926056702635617
0, 0.20155314403747202, 0.017564411728272392, 0.9925513784837783
0, 0.10092117499968249, 0.039439515867515845, 0.951335257931494
0, 0.2017430047839971, 0.017623340220675632, 0.9925192496501212
0, 0.20164818095293247, 0.01760461804784095, 0.9925340769373073
0, 0.20167439130851975, 0.017609729450034372, 0.9925299240361759
0, 0.5774199701983268, 0.023850980000504462, 0.9848204716138004
0, 0.1004168834596786, 0.039246406225958014, 0.9515946779182892
0, 0.20456338935849888, 0.01801858005859834, 0.9923949228959321
0, 0.20481305395471316, 0.017970236163462713, 0.9923688322160843
0, 0.2048208201434998, 0.01797459556266376, 0.9923673476597145
0, 0.10156695171836998, 0.03969134224595577, 0.9510326504397842
0, 0.004719386421356435, 0.0105575743232451, 0.9988883975536657
0, 0.2044702491879093, 0.01792132232208615, 0.9924201851030987
0, 0.20478599236876363, 0.017934862356147125, 0.9923769593445775
0, 0.20440284007642578, 0.017855796765868494, 0.9924365389722819
0, 0.07199610823529451, 0.03342353060412863, 0.9657943606194881
0, 0.20548083271888212, 0.018210655057761215, 0.9922517561295701
0, 0.20491214043987466, 0.01811102651730729, 0.9923380991763621
0, 0.20420884688386898, 0.017753344293512847, 0.9924751270439318
0, 0.20463725399883975, 0.017891070683210306, 0.9924016930783238
0, 0.10080460632321625, 0.03940054240468687, 0.9513663083117325
0, 0.20483024655754287, 0.017949420328774255, 0.9923692315181538
0, 0.2047251651426812, 0.017922844217680856, 0.9923863481906221
0, 0.2048001482001175, 0.017974173332826443, 0.992369930474542
0, 0.5860712757978244, 0.024167615023359047, 0.9845910019642721
0, 0.10052536959433951, 0.039274986358845736, 0.9515620717067305
0, 0.19832851364615683, 0.01737938725171891, 0.992687373945858
0, 0.19861332952186214, 0.017373517596609486, 0.9926506975757947
0, 0.1986346228997455, 0.017391538368978523, 0.9926457688672847
0, 0.10172347853308523, 0.03973805229011129, 0.9509881089945581
0, 0.0047509417192464, 0.010721510440784216, 0.998877275034107
0, 0.19834251293643032, 0.017384070671106214, 0.9926855667055292
0, 0.19860038319502643, 0.017351289617149605, 0.9926551698066517
0, 0.19822348706117432, 0.01726593899699434, 0.9927148800723131
0, 0.07229841919425012, 0.03354349754349144, 0.9657155581459479
0, 0.19919351306169608, 0.017549846261811636, 0.9925534141717075
0, 0.19882992454495785, 0.017630239847564233, 0.9925907549483439
0, 0.1980878937962801, 0.01721523147019181, 0.9927392264662275
0, 0.19845365221809885, 0.01730465461205559, 0.9926799976758606
0, 0.10097684063884828, 0.039453600822051446, 0.9513183284082267
0, 0.1986476472012796, 0.017370503297362654, 0.9926464821795683
0, 0.19853562210877793, 0.01733331917512427, 0.9926658574831139
0, 0.19859041926838075, 0.01736730342709313, 0.9926543890098706
0, 0.5701497081549494, 0.02357772325754939, 0.985016046915142
0, 0.1003585104756546, 0.03921618025829107, 0.951604626714124
0, 0.2009290577131889, 0.01755292226963358, 0.9925907285557168
0, 0.20119742668760024, 0.017527599129756145, 0.9925588408243207
0, 0.2012533040819731, 0.01757955014988031, 0.9925451422667815
0, 0.10163747173726276, 0.03971029507185488, 0.951011854016101
0, 0.004910022320986545, 0.010879768318294588, 0.9988422210247415
0, 0.20096243917735165, 0.017576234834565968, 0.9925841255035289
0, 0.20119343632119407, 0.017514317979056563, 0.9925610664771296
0, 0.20080923099303433, 0.017425784949371706, 0.9926220550909749
0, 0.07198784661445848, 0.03341284810690697, 0.9657917356264123
0, 0.20183351696034288, 0.01775265686617737, 0.9924481194504451
0, 0.2013737095799548, 0.017745145425806703, 0.9925088143657849
0, 0.20070249525040265, 0.01740502154489675, 0.9926389474749857
0, 0.2010577902532542, 0.01748019781216986, 0.9925828826154194
0, 0.10089613268434057, 0.03942760955624231, 0.9513407227256072
0, 0.2012368357342141, 0.01752921357356556, 0.9925534202735217
0, 0.20115034412846722, 0.01751833739153553, 0.9925661821517119
0, 0.20118659502953945, 0.01753344073656481, 0.9925594571903343
0, 0.5761551629914552, 0.023716297382374005, 0.9848877538155977
0, 0.10036525008242472, 0.039224272439748395, 0.9516056148340558
0, 0.2032301374291153, 0.01776217352506581, 0.9924900536828755
0, 0.20354356161696185, 0.01777719626115306, 0.9924474251221875
0, 0.20356993240347016, 0.017799896700904944, 0.9924411865284033
0, 0.1016007668258357, 0.039701925244543475, 0.9510233045012996
0, 0.004876270726230213, 0.010796477666304068, 0.998850974409939
0, 0.20329703626329576, 0.017817657460354703, 0.9924749781031408
0, 0.2035442761682122, 0.017768599048756602, 0.9924484802357308
0, 0.2031691134271687, 0.017693870686579197, 0.9925065188471205
0, 0.07193009729625252, 0.03339602445852821, 0.9658073115669644
0, 0.2041648377030827, 0.017980051734490018, 0.9923413153431138
0, 0.20368237071181816, 0.01795771850115838, 0.9924067299973639
0, 0.2030402363654547, 0.017652788111348787, 0.9925288721922207
0, 0.2034139903719534, 0.017741452732822082, 0.9924687069576896
0, 0.1008825292687944, 0.03942798565159461, 0.9513465921784451
0, 0.2035935384543002, 0.017788601387822938, 0.9924394111005946
0, 0.2035121103886403, 0.017783856732319116, 0.9924506962529377
0, 0.2035423968879606, 0.017792563520539758, 0.9924455479084562
0, 0.58179411314259, 0.023959468503569926, 0.9847234775894752
0, 0.10046006580219742, 0.03925199664148417, 0.9515777054404324
0, 0.19859327135278226, 0.017389913540412655, 0.992678366782748
0, 0.1989165825442511, 0.0174216437497747, 0.9926319629454832
0, 0.19895611137082103, 0.017457685335176807, 0.9926224444692635
0, 0.10172157744446567, 0.03973921749066299, 0.9509888770414161
0, 0.004983867189970428, 0.011040015975585338, 0.9988220250027269
0, 0.19870061582076085, 0.01748690761715571, 0.9926528390759252
