Same?, KLD, Cramer, Bhattacharyya
1, 0.0, 0.0, 0.9999999999999999
0, 2.454422454597772, 0.04480812390035567, 0.9409585525611226
0, 2.4546940230148397, 0.04487074946222597, 0.940900581613133
0, 2.455369271487874, 0.044978002180861995, 0.940773637302439
0, 0.0029566893073192284, 0.00925001128123752, 0.9992720947930939
0, 2.453781128690885, 0.044677956535449224, 0.9410895436624921
0, 2.4538757386349257, 0.04469928431021415, 0.9410676425647344
0, 2.45459912296328, 0.045047338860667765, 0.9408677005525381
0, 2.4540954007844653, 0.04475390127953804, 0.9410199850428794
0, 0.0007137658306422328, 0.004556161641674719, 0.9998231988569053
0, 2.4537610902559153, 0.044772546189961786, 0.9410602806329292
0, 2.454030431453596, 0.04474766607039224, 0.9410302286350363
0, 2.454238081899925, 0.044750680214604696, 0.9410010284878607
0, 2.454305150320872, 0.044847790015352454, 0.940960933565116
0, 0.0002918663639548925, 0.0029919106135972862, 0.9999278392097244
0, 2.454127528175252, 0.04474714754099085, 0.9410173064444045
0, 2.4541006699736148, 0.044839092492019346, 0.9409928606469561
0, 2.4540399894514047, 0.04474726228846251, 0.9410288922976455
0, 3.1243124372207793, 0.05041449307990773, 0.926109411831864
0, 0.1255479336880955, 0.04480812390035567, 0.9409585525611226
1, 0.0, 0.0, 1.0000000000080003
0, 0.00017699871788332227, 0.002463540281235424, 0.9999557099957461
0, 0.0003964392152351104, 0.0036172148847112297, 0.9999012977013879
0, 0.13338061411141894, 0.04721066212176367, 0.9378595398278636
0, 0.00032106075629944974, 0.003308390031018362, 0.9999199025571223
0, 0.00022524485807035074, 0.002773045134111385, 0.9999435220491357
0, 0.001013504353082229, 0.005944214855273612, 0.9997459136323726
0, 0.0001401631505813328, 0.0021821912233059753, 0.9999649825167546
0, 0.11480617404551788, 0.04126773037169537, 0.9457014561934987
0, 0.0004514281207415173, 0.003895656268094108, 0.999887512281153
0, 0.00012143964613344503, 0.0020322544590150545, 0.9999695980055748
0, 0.00012481511163921354, 0.002069154781805201, 0.9999687271245384
0, 0.0002820156383879013, 0.0030704140366200157, 0.9999298652800824
0, 0.12559751223240972, 0.04483601580676485, 0.9408502170692119
0, 0.00016558002932463584, 0.002377308455044758, 0.9999585444935627
0, 0.0003724101689280587, 0.003519740224787001, 0.9999074761532526
0, 0.00008280557681496257, 0.0016759407307804658, 0.9999792719721363
0, 0.32601503033067725, 0.01864011466415867, 0.9906147509828779
0, 0.12575897818200826, 0.04487074946222597, 0.940900581613133
